A. J. Burnett	burneaj01
Aaron Sanchez	sanchaa01
Adam Liberatore	liberad01
Addie Joss	jossad01
Adonis Terry	terryad01
Al Atkinson	atkinal01
Al Leiter	leiteal01
Alec Mills	millsal02
Alejandro Pena	penaal01
Alex Lange	langeal01
Alex Main	mainal01
Allie Reynolds	reynoal01
Amos Rusie	rusieam01
Andrew Chafin	chafian01
Anibal Sanchez	sanchan01
Babe Ruth	ruthba01
Ben Sanders	sandebe01
Bert Blyleven	blylebe01
Big Jeff Pfeffer	pfeffje01
Bill Dietrich	dietrbi01
Bill Dinneen	dinnebi01
Bill Hawke	hawkebi01
Bill McCahan	mccahbi01
Bill Monbouquette	monbobi01
Bill Singer	singebi01
Bill Stoneman	stonebi01
Billy Wagner	wagnebi02
Blake Snell	snellbl01
Blue Moon Odom	odombl01
Bo Belinsky	belinbo01
Bob Feller	fellebo01
Bob Forsch	forscbo01
Bob Gibson	gibsobo01
Bob Groom	groombo01
Bob Keegan	keegabo01
Bob Lemon	lemonbo01
Bob Milacki	milacbo01
Bob Moose	moosebo01
Bob Rhoads	rhoadbo01
Bobby Burke	burkebo01
Bobo Holloman	hollobo01
Brad Lidge	lidgebr01
Brandon League	leagubr01
Bret Saberhagen	saberbr01
Bryan Abreu	abreubr01
Bud Smith	smithbu02
Bullet Joe Bush	bushjo01
Bumpus Jones	jonesbu01
Burt Hooton	hootobu01
Carl Erskine	erskica01
Carl Hubbell	hubbeca01
Carlos Rodon	rodonca01
Carlos Zambrano	zambrca01
Catfish Hunter	hunteca01
Charles Bender	bendech01
Charlie Ferguson	ferguch01
Charlie Furbush	furbuch01
Charlie Lea	leach01
Charlie Robertson	roberch01
Chick Fraser	frasech01
Chris Bosio	bosioch01
Chris Devenski	devench02
Chris Heston	hestoch01
Christy Mathewson	mathech01
Claude Hendrix	hendrcl01
Clay Buchholz	buchhcl01
Clayton Kershaw	kershcl01
Cliff Chambers	chambcl01
Clyde Shoun	shouncl01
Clyde Wright	wrighcl01
Cole Hamels	hamelco01
Corbin Burnes	burneco01
Corey Kluber	klubeco01
Craig Kimbrel	kimbrcr01
Cristian Javier	javiecr01
Cy Young	youngcy01
Dallas Braden	bradeda01
Darryl Kile	kileda01
Dave Davenport	davenda01
Dave Morehead	morehda01
Dave Righetti	righeda01
Dave Stewart	stewada01
Dave Stieb	stiebda01
David Cone	coneda01
David Wells	wellsda01
Dazzy Vance	vanceda01
Deacon Phillippe	phillde01
Dean Chance	chancde01
Dennis Eckersley	eckerde01
Dennis Martinez	martide01
Derek Lowe	lowede01
Dick Bosman	bosmadi01
Dick Burns	burnsdi01
Dick Fowler	fowledi01
Dock Ellis	ellisdo01
Domingo German	germado01
Don Black	blackdo01
Don Cardwell	cardwdo01
Don Larsen	larsedo01
Don Nottebart	nottedo01
Don Wilson	wilsodo01
Drew Smith	smithdr01
Dutch Leonard	leonadu01
Dwight Gooden	goodedw01
Dylan Cease	ceasedy01
Earl Hamilton	hamilea01
Earl Wilson	wilsoea01
Ed Cushman	cushmed01
Ed Halicki	haliced01
Ed Head	headed01
Ed Lafitte	lafited01
Ed Morris	morried01
Ed Seward	sewared01
Ed Walsh	walshed01
Eddie Cicotte	cicoted01
Edinson Volquez	volqued01
Edwin Diaz	diazed04
Edwin Jackson	jacksed01
Eric Milton	miltoer01
Ernie Koob	koober01
Ernie Shore	shoreer01
Ervin Santana	santaer01
Ewell Blackwell	blackew01
Felix Hernandez	hernafe02
Felix Pena	penafe01
Fernando Valenzuela	valenfe01
Framber Valdez	valdefr01
Francisco Barrios	barrifr01
Francisco Cordova	cordofr01
Francisco Liriano	liriafr01
Frank Allen	allenfr01
Frank Mountain	mountfr01
Frank Smith	smithfr03
Fred Toney	toneyfr01
Gaylord Perry	perryga01
George Bradley	bradlge01
George Culver	culvege01
George Davis	davisge02
George Mogridge	mogrige01
George Mullin	mullige01
Glenn Abbott	abbotgl01
Gregg Olson	olsongr01
Gus Weyhing	weyhigu01
Guy Hecker	heckegu01
Hector Neris	nerishe01
Henderson Alvarez	alvarhe01
Henry Porter	portehe01
Hideo Nomo	nomohi01
Hisashi Iwakuma	iwakuhi01
Hod Eller	ellerho01
Homer Bailey	baileho02
Hooks Wiltse	wiltsho01
Howard Ehmke	ehmkeho01
Hoyt Wilhelm	wilheho01
Hugh Daily	dailyhu01
Jack Kralick	kralija01
Jack Morris	morrija02
Jack Stivetts	stiveja01
Jake Arrieta	arrieja01
Jake Diekman	diekmja01
James Paxton	paxtoja01
Jason Foley	foleyja01
Jay Hughes	hugheja01
Jeff Tesreau	tesreje01
Jered Weaver	weaveje02
Jerry Reuss	reussje01
Jesse Barnes	barneje01
Jesse Haines	haineje01
Jesse Tannehill	tanneje01
Jim Abbott	abbotji01
Jim Bibby	bibbyji01
Jim Bunning	bunniji01
Jim Colborn	colboji01
Jim Maloney	malonji01
Jim Palmer	palmeji01
Jim Tobin	tobinji01
Jim Wilson	wilsoji02
Jimmy Callahan	callani01
Jimmy Lavender	lavenji01
Joe Benz	benzjo01
Joe Biagini	biagijo01
Joe Cowley	cowlejo01
Joe Horlen	horlejo01
Joe Musgrove	musgrjo01
Joely Rodriguez	rodrijo04
Johan Santana	santajo01
John Candelaria	candejo01
John Clarkson	clarkjo01
John Means	meansjo01
John Montefusco	montejo01
John Ward	wardjo01
Johnny Lush	lushjo01
Johnny Vander Meer	vandejo01
Jon Lester	lestejo01
Jonathan Papelbon	papeljo01
Jonathan Sanchez	sanchjo01
Jordan Zimmermann	zimmejo02
Jose Jimenez	jimenjo01
Josh Beckett	beckejo02
Josh Hader	haderjo01
Juan Marichal	maricju01
Juan Nieves	nieveju01
Justin Verlander	verlaju01
Ken Forsch	forscke01
Ken Giles	gileske01
Ken Holtzman	holtzke01
Ken Johnson	johnske02
Kenny Rogers	rogerke01
Kent Mercker	merckke01
Kevin Brown	brownke01
Kevin Gross	grosske01
Kevin Millwood	millwke01
Kirk Saarloos	saarlki01
Larry Corcoran	corcola01
Larry Dierker	dierkla01
Ledell Titcomb	titcoca01
Lee Richmond	richmle01
Len Barker	barkele01
Lew Burdette	burdele01
Lon Warneke	warnelo01
Lucas Giolito	giolilu01
Lucas Luetge	luetglu01
Mal Eason	easonma01
Mark Buehrle	buehrma01
Mark Langston	langsma01
Mark Williamson	willima05
Mark Wohlers	wohlema01
Matt Cain	cainma01
Matt Garza	garzama01
Matt Kilroy	kilroma01
Matt Manning	mannima01
Max Scherzer	scherma01
Mel Parnell	parneme01
Michael Lorenzen	lorenmi01
Mike Fiers	fiersmi01
Mike Flanagan	flanami01
Mike Scott	scottmi03
Mike Warren	warremi01
Mike Witt	wittmi01
Milt Pappas	pappami01
Monte Pearson	pearsmo01
Nap Rucker	ruckena01
Nate Pearson	pearsna01
Nick Maddox	maddoni01
Nolan Ryan	ryanno01
Noodles Hahn	hahnno01
Octavio Dotel	doteloc01
Old Hoss Radbourn	radboch01
Paul Dean	deanpa01
Paul Lindblad	lindbpa01
Peter Munro	munrope01
Phil Niekro	niekrph01
Philip Humber	humbeph01
Porter Hodge	hodgepo01
Pud Galvin	galvipu01
